Course,Status,Title,Author,Edition,ISBN,Year,URL,Edition Library Owns,Publisher,
BFCP,Recommended,Goodman & Gilman's The Pharmacological Basis of Therapeutics,Brunton,13th,978-1259584732,2018,https://huaryu.kl.oakland.edu/login?url=https://accessmedicine.mhmedical.com/book.aspx?bookid=2189,,,
BFCP,Recommended,Medical Microbiology,Murray,9th,978-0323673228,2021,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20180000924,,,
BFCP,Recommended,Principles of Pharmacology: The Pathophysiologic Basis of Drug Therapy,Golan,4th,978-1451191004,2017,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=1765,4th,Lippincott Williams & Wilkins,
BFCP,Recommended,Thompson and Thompson Genetics in Medicine,Nussbaum,8th,978-1437706963,2016,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C2009059798X,8th,,
BFCP,Required [BFCP 2],Robbins and Cotran Pathologic Basis of Diseases Student Edition,Kumar,10th,978-0323531139,2021,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160040871,10th,"Saunders, Elsevier",
BFCP,Required,Basic Immunology: Functions and Disorders of the Immune System,Abbas,6th,978-0323549431,2020,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160052403,,,
BFCP,Required,Basic and Clinical Pharmacology,Katzung,14th,978-1259641152,2018,https://huaryu.kl.oakland.edu/login?url=https://accessmedicine.mhmedical.com/book.aspx?bookid=2249,,,
BFCP,Recommended,Case Studies in Immunology: a Clinical Companion,Geha,7th,978-0815345121,2016,,,,
BFCP,Required,Guyton and Hall Textbook of Medical Physiology,Hall,14th,978-0323597128,2021,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20170004883,,,
BFCP,Resource for Review,Lippincott's Illustrated Reviews: Cell and Molecular Biology,Chandar,2nd,978-1496348500,2019,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=2335,2nd,Lippincott Williams & Wilkins,
BFCP,Recommended,Mark's Basic Medical Biochemistry: A Clinical Approach,Lieberman,5th,978-1496324818,2018,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=2170,,,
BFCP,Recommended,Pocket Companion to Guyton and Hall Textbook of Medical Physiology,Hall,13th,978-1455770069,2016,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20120065143,,,yes
CARDIO,Required,Pathophysiology of Heart Disease: A Collaborative  Project of Medical Students and Faculty,Lilly,6th,978-1451192759,2016,https://huaryu.kl.oakland.edu/login?url=https://meded.lwwhealthlibrary.com/book.aspx?bookid=1573,6th,Lippincott Williams & Wilkins,
EMBARK,Recommended,Designing Clinical Research,Hulley,4th,978-1608318049,2013,https://huaryu.kl.oakland.edu/login?url=https://ebookcentral.proquest.com/lib/oakland/detail.action?docID=2031635,4th,Wolters Kluwer,
HEMATO,Required,Harrison's Hematology and Oncology,Longo,3rd,978-1259835834,2017,https://huaryu.kl.oakland.edu/login?url=https://hemonc.mhmedical.com/book.aspx?bookID=1924,,,
HUM,Recommended,"The Social Medicine Reader: Health Policy, Markets, and Medicine",Oberlander,2nd,978-0822335696,2005,https://huaryu.kl.oakland.edu/login?url=http://ebookcentral.proquest.com/lib/oakland/detail.action?docID=1168461,,Duke University Press,
HUM,Required,The Medical Interview: The Three-Function Approach,Cole,3rd,978-0323052214,2014,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090431829,3rd,Mosby-Elsevier,
NEURO1,Recommended,Clinical Neuroanatomy: A Case-based Approach,Gould,,978-1626239623,2019,https://huaryu.kl.oakland.edu/login?url=https://medone-education.thieme.com/ebooks/2482966#/ebook_2482966_SL92863609,,
NEURO1,Required,High-Yield Neuroanatomy,Gould,5th,978-1451193435,2016,,,Lippincott Williams & Wilkins,
NEURO1,Resource for Review,Neuroanatomy (BRS),Gould,6th,978-1496396181,2019,https://huaryu.kl.oakland.edu/login?url=https://brs.lwwhealthlibrary.com/book.aspx?bookid=2243,5th,Lippincott Williams & Wilkins,
PMH,Recommended,Gordis Epidemiology,Celentano,6th,978-0323552295,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20160022520,,,
PMH,Recommended,Motivational Interviewing in Health Care: Helping Patients Change Behavior,Rollnick,,978-1593856137,2008,https://huaryu.kl.oakland.edu/login?url=http://www.r2library.com/Resource/Title/159385613X,,Guilford Press,
RESP,Recommended,Fishman's Pulmonary Diseases and Disorders,Grippi,5th,978-0071807289,2015,https://huaryu.kl.oakland.edu/login?url=https://accessmedicine.mhmedical.com/book.aspx?bookid=1344,,,
RESP,Recommended,Principles of Pulmonary Medicine,Weinberger,7th,978-0323523714,2019,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20150047608,7th,Saunders Elseveir  Online or Print,
RESP,Recommended,Respiratory Physiology: the Essentials,West,10th,978-1496310118,2016,,,Lippincott Williams & Wilkins,
RESP,Recommended,Robbins Basic Pathology,Kumar,10th,978-0323353175,2018,https://huaryu.kl.oakland.edu/login?url=https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20140017194,,,
